location_group,location_type,location_code,location,latitude,longitude
Mobil,Otobus 4G,IETT-O1167,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-T1011,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 3G,IETT-K1700,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-O1029,IETT Otobus,0.0000000000,0.0000000000
Hizmet Binasi,Bina,ISBAK-Sariyer Tunel Birimi,SARIYER,41.1581800000,29.0265700000
Hizmet Binasi,Itfaiye,007-Bakirkoy Itfaiye,BAKIRKÖY,40.9875700000,28.8816000000
Mobil,Otobus 4G,IETT-O1124,IETT Otobus,0.0000000000,0.0000000000
Mobil,Metrobus,Metrobus-M4648,IETT Metrobus,0.0000000000,0.0000000000
Mobil,Otobus 3G,IETT-K1501,IETT Otobus,0.0000000000,0.0000000000
Mobil,Metrobus,Metrobus-M3121,IETT Metrobus,0.0000000000,0.0000000000
Mobil,Otobus 3G,IETT-O3187,IETT Otobus,0.0000000000,0.0000000000
Mobil,Metrobus,Metrobus-M4661,IETT Metrobus,0.0000000000,0.0000000000
Mobil,Otobus 3G,IETT-K1617,IETT Otobus,0.0000000000,0.0000000000
Turistik Mekan,Turistik,056-Yildiz Korusu Yesil Sera,BEŞİKTAŞ,41.0490500000,29.0154500000
Mobil,Otobus 4G,IETT-M2269,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 3G,IETT-O2300,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-O4018,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 3G,IETT-K1742,IETT Otobus,0.0000000000,0.0000000000
Mobil,Metrobus,Metrobus-M3183,IETT Metrobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-K1032,IETT Otobus,0.0000000000,0.0000000000
